Catalog_Item_Number__c,Title__c,CSO_Short_Name__c,Description__c,List_Unit_Price__c,Pricing_Unit__c,JWCC_Unit_Price__c,JWCC_Unit_Of_Issue__c,Discount_Premium_Fee__c
DEMO-P-202602-NEW-00028,New February 2026 SKU 28,CSO-NEW-05,Net-new item for added-row demo.,20.9,Each,18.81,Each,
DEMO-P-202602-NEW-00029,New February 2026 SKU 29,CSO-NEW-06,Net-new item for added-row demo.,20.95,Each,18.855,Each,
DEMO-P-202602-NEW-00030,New February 2026 SKU 30,CSO-NEW-07,Net-new item for added-row demo.,21,Each,18.9,Each,
DEMO-P-202602-NEW-00031,New February 2026 SKU 31,CSO-NEW-08,Net-new item for added-row demo.,21.05,Each,18.945,Each,
DEMO-P-202602-NEW-00032,New February 2026 SKU 32,CSO-NEW-09,Net-new item for added-row demo.,21.1,Each,18.99,Each,
DEMO-P-202602-NEW-00033,New February 2026 SKU 33,CSO-NEW-10,Net-new item for added-row demo.,21.15,Each,19.035,Each,
DEMO-P-202602-NEW-00034,New February 2026 SKU 34,CSO-NEW-11,Net-new item for added-row demo.,21.2,Each,19.08,Each,
DEMO-P-202602-NEW-00035,New February 2026 SKU 35,CSO-NEW-12,Net-new item for added-row demo.,21.25,Each,19.125,Each,
DEMO-P-202602-NEW-00036,New February 2026 SKU 36,CSO-NEW-01,Net-new item for added-row demo.,21.3,Each,19.17,Each,
DEMO-P-202602-NEW-00037,New February 2026 SKU 37,CSO-NEW-02,Net-new item for added-row demo.,21.35,Each,19.215,Each,
DEMO-P-202602-NEW-00038,New February 2026 SKU 38,CSO-NEW-03,Net-new item for added-row demo.,21.4,Each,19.26,Each,
DEMO-P-202602-NEW-00039,New February 2026 SKU 39,CSO-NEW-04,Net-new item for added-row demo.,21.45,Each,19.305,Each,
DEMO-P-202602-NEW-00040,New February 2026 SKU 40,CSO-NEW-05,Net-new item for added-row demo.,21.5,Each,19.35,Each,
DEMO-P-202602-NEW-00041,New February 2026 SKU 41,CSO-NEW-06,Net-new item for added-row demo.,21.55,Each,19.395,Each,
DEMO-P-202602-NEW-00042,New February 2026 SKU 42,CSO-NEW-07,Net-new item for added-row demo.,21.6,Each,19.44,Each,
DEMO-P-202602-NEW-00043,New February 2026 SKU 43,CSO-NEW-08,Net-new item for added-row demo.,21.65,Each,19.485,Each,
DEMO-P-202602-NEW-00044,New February 2026 SKU 44,CSO-NEW-09,Net-new item for added-row demo.,21.7,Each,19.53,Each,
DEMO-P-202602-NEW-00045,New February 2026 SKU 45,CSO-NEW-10,Net-new item for added-row demo.,21.75,Each,19.575,Each,
DEMO-P-202602-NEW-00046,New February 2026 SKU 46,CSO-NEW-11,Net-new item for added-row demo.,21.8,Each,19.62,Each,
DEMO-P-202602-NEW-00047,New February 2026 SKU 47,CSO-NEW-12,Net-new item for added-row demo.,21.85,Each,19.665,Each,
DEMO-P-202602-NEW-00048,New February 2026 SKU 48,CSO-NEW-01,Net-new item for added-row demo.,21.9,Each,19.71,Each,
DEMO-P-202602-NEW-00049,New February 2026 SKU 49,CSO-NEW-02,Net-new item for added-row demo.,21.95,Each,19.755,Each,
DEMO-P-202602-NEW-00050,New February 2026 SKU 50,CSO-NEW-03,Net-new item for added-row demo.,22,Each,19.8,Each,
DEMO-P-202602-NEW-00051,New February 2026 SKU 51,CSO-NEW-04,Net-new item for added-row demo.,22.05,Each,19.845,Each,
DEMO-P-202602-NEW-00052,New February 2026 SKU 52,CSO-NEW-05,Net-new item for added-row demo.,22.1,Each,19.89,Each,
DEMO-P-202602-NEW-00053,New February 2026 SKU 53,CSO-NEW-06,Net-new item for added-row demo.,22.15,Each,19.935,Each,
DEMO-P-202602-NEW-00054,New February 2026 SKU 54,CSO-NEW-07,Net-new item for added-row demo.,22.2,Each,19.98,Each,
DEMO-P-202602-NEW-00055,New February 2026 SKU 55,CSO-NEW-08,Net-new item for added-row demo.,22.25,Each,20.025,Each,
DEMO-P-202602-NEW-00056,New February 2026 SKU 56,CSO-NEW-09,Net-new item for added-row demo.,22.3,Each,20.07,Each,
DEMO-P-202602-NEW-00057,New February 2026 SKU 57,CSO-NEW-10,Net-new item for added-row demo.,22.35,Each,20.115,Each,
DEMO-P-202602-NEW-00058,New February 2026 SKU 58,CSO-NEW-11,Net-new item for added-row demo.,22.4,Each,20.16,Each,
DEMO-P-202602-NEW-00059,New February 2026 SKU 59,CSO-NEW-12,Net-new item for added-row demo.,22.45,Each,20.205,Each,
DEMO-P-202602-NEW-00060,New February 2026 SKU 60,CSO-NEW-01,Net-new item for added-row demo.,22.5,Each,20.25,Each,
DEMO-P-202602-NEW-00061,New February 2026 SKU 61,CSO-NEW-02,Net-new item for added-row demo.,22.55,Each,20.295,Each,
DEMO-P-202602-NEW-00062,New February 2026 SKU 62,CSO-NEW-03,Net-new item for added-row demo.,22.6,Each,20.34,Each,
DEMO-P-202602-NEW-00063,New February 2026 SKU 63,CSO-NEW-04,Net-new item for added-row demo.,22.65,Each,20.385,Each,
DEMO-P-202602-NEW-00064,New February 2026 SKU 64,CSO-NEW-05,Net-new item for added-row demo.,22.7,Each,20.43,Each,
DEMO-P-202602-NEW-00065,New February 2026 SKU 65,CSO-NEW-06,Net-new item for added-row demo.,22.75,Each,20.475,Each,
DEMO-P-202602-NEW-00066,New February 2026 SKU 66,CSO-NEW-07,Net-new item for added-row demo.,22.8,Each,20.52,Each,
DEMO-P-202602-NEW-00067,New February 2026 SKU 67,CSO-NEW-08,Net-new item for added-row demo.,22.85,Each,20.565,Each,
DEMO-P-202602-NEW-00068,New February 2026 SKU 68,CSO-NEW-09,Net-new item for added-row demo.,22.9,Each,20.61,Each,
DEMO-P-202602-NEW-00069,New February 2026 SKU 69,CSO-NEW-10,Net-new item for added-row demo.,22.95,Each,20.655,Each,
DEMO-P-202602-NEW-00070,New February 2026 SKU 70,CSO-NEW-11,Net-new item for added-row demo.,23,Each,20.7,Each,
DEMO-P-202602-NEW-00071,New February 2026 SKU 71,CSO-NEW-12,Net-new item for added-row demo.,23.05,Each,20.745,Each,
DEMO-P-202602-NEW-00072,New February 2026 SKU 72,CSO-NEW-01,Net-new item for added-row demo.,23.1,Each,20.79,Each,
DEMO-P-202602-NEW-00073,New February 2026 SKU 73,CSO-NEW-02,Net-new item for added-row demo.,23.15,Each,20.835,Each,
DEMO-P-202602-NEW-00074,New February 2026 SKU 74,CSO-NEW-03,Net-new item for added-row demo.,23.2,Each,20.88,Each,
DEMO-P-202602-NEW-00075,New February 2026 SKU 75,CSO-NEW-04,Net-new item for added-row demo.,23.25,Each,20.925,Each,
DEMO-P-202602-NEW-00076,New February 2026 SKU 76,CSO-NEW-05,Net-new item for added-row demo.,23.3,Each,20.97,Each,
DEMO-P-202602-NEW-00077,New February 2026 SKU 77,CSO-NEW-06,Net-new item for added-row demo.,23.35,Each,21.015,Each,
DEMO-P-202602-NEW-00078,New February 2026 SKU 78,CSO-NEW-07,Net-new item for added-row demo.,23.4,Each,21.06,Each,
DEMO-P-202602-NEW-00079,New February 2026 SKU 79,CSO-NEW-08,Net-new item for added-row demo.,23.45,Each,21.105,Each,
DEMO-P-202602-NEW-00080,New February 2026 SKU 80,CSO-NEW-09,Net-new item for added-row demo.,23.5,Each,21.15,Each,
DEMO-P-202602-NEW-00081,New February 2026 SKU 81,CSO-NEW-10,Net-new item for added-row demo.,23.55,Each,21.195,Each,
DEMO-P-202602-NEW-00082,New February 2026 SKU 82,CSO-NEW-11,Net-new item for added-row demo.,23.6,Each,21.24,Each,
DEMO-P-202602-NEW-00083,New February 2026 SKU 83,CSO-NEW-12,Net-new item for added-row demo.,23.65,Each,21.285,Each,
DEMO-P-202602-NEW-00084,New February 2026 SKU 84,CSO-NEW-01,Net-new item for added-row demo.,23.7,Each,21.33,Each,
DEMO-P-202602-NEW-00085,New February 2026 SKU 85,CSO-NEW-02,Net-new item for added-row demo.,23.75,Each,21.375,Each,
DEMO-P-202602-NEW-00086,New February 2026 SKU 86,CSO-NEW-03,Net-new item for added-row demo.,23.8,Each,21.42,Each,
DEMO-P-202602-NEW-00087,New February 2026 SKU 87,CSO-NEW-04,Net-new item for added-row demo.,23.85,Each,21.465,Each,
DEMO-P-202602-NEW-00088,New February 2026 SKU 88,CSO-NEW-05,Net-new item for added-row demo.,23.9,Each,21.51,Each,
DEMO-P-202602-NEW-00089,New February 2026 SKU 89,CSO-NEW-06,Net-new item for added-row demo.,23.95,Each,21.555,Each,
DEMO-P-202602-NEW-00090,New February 2026 SKU 90,CSO-NEW-07,Net-new item for added-row demo.,24,Each,21.6,Each,
DEMO-P-202602-NEW-00091,New February 2026 SKU 91,CSO-NEW-08,Net-new item for added-row demo.,24.05,Each,21.645,Each,
DEMO-P-202602-NEW-00092,New February 2026 SKU 92,CSO-NEW-09,Net-new item for added-row demo.,24.1,Each,21.69,Each,
DEMO-P-202602-NEW-00093,New February 2026 SKU 93,CSO-NEW-10,Net-new item for added-row demo.,24.15,Each,21.735,Each,
DEMO-P-202602-NEW-00094,New February 2026 SKU 94,CSO-NEW-11,Net-new item for added-row demo.,24.2,Each,21.78,Each,
DEMO-P-202602-NEW-00095,New February 2026 SKU 95,CSO-NEW-12,Net-new item for added-row demo.,24.25,Each,21.825,Each,
DEMO-P-202602-NEW-00096,New February 2026 SKU 96,CSO-NEW-01,Net-new item for added-row demo.,24.3,Each,21.87,Each,
DEMO-P-202602-NEW-00097,New February 2026 SKU 97,CSO-NEW-02,Net-new item for added-row demo.,24.35,Each,21.915,Each,
DEMO-P-202602-NEW-00098,New February 2026 SKU 98,CSO-NEW-03,Net-new item for added-row demo.,24.4,Each,21.96,Each,
DEMO-P-202602-NEW-00099,New February 2026 SKU 99,CSO-NEW-04,Net-new item for added-row demo.,24.45,Each,22.005,Each,
DEMO-P-202602-NEW-00100,New February 2026 SKU 100,CSO-NEW-05,Net-new item for added-row demo.,24.5,Each,22.05,Each,
DEMO-P-202602-NEW-00101,New February 2026 SKU 101,CSO-NEW-06,Net-new item for added-row demo.,24.55,Each,22.095,Each,
DEMO-P-202602-NEW-00102,New February 2026 SKU 102,CSO-NEW-07,Net-new item for added-row demo.,24.6,Each,22.14,Each,
DEMO-P-202602-NEW-00103,New February 2026 SKU 103,CSO-NEW-08,Net-new item for added-row demo.,24.65,Each,22.185,Each,
DEMO-P-202602-NEW-00104,New February 2026 SKU 104,CSO-NEW-09,Net-new item for added-row demo.,24.7,Each,22.23,Each,
DEMO-P-202602-NEW-00105,New February 2026 SKU 105,CSO-NEW-10,Net-new item for added-row demo.,24.75,Each,22.275,Each,
DEMO-P-202602-NEW-00106,New February 2026 SKU 106,CSO-NEW-11,Net-new item for added-row demo.,24.8,Each,22.32,Each,
DEMO-P-202602-NEW-00107,New February 2026 SKU 107,CSO-NEW-12,Net-new item for added-row demo.,24.85,Each,22.365,Each,
DEMO-P-202602-NEW-00108,New February 2026 SKU 108,CSO-NEW-01,Net-new item for added-row demo.,24.9,Each,22.41,Each,
DEMO-P-202602-NEW-00109,New February 2026 SKU 109,CSO-NEW-02,Net-new item for added-row demo.,24.95,Each,22.455,Each,
DEMO-P-202602-NEW-00110,New February 2026 SKU 110,CSO-NEW-03,Net-new item for added-row demo.,25,Each,22.5,Each,
DEMO-P-202602-NEW-00111,New February 2026 SKU 111,CSO-NEW-04,Net-new item for added-row demo.,25.05,Each,22.545,Each,
DEMO-P-202602-NEW-00112,New February 2026 SKU 112,CSO-NEW-05,Net-new item for added-row demo.,25.1,Each,22.59,Each,
DEMO-P-202602-NEW-00113,New February 2026 SKU 113,CSO-NEW-06,Net-new item for added-row demo.,25.15,Each,22.635,Each,
DEMO-P-202602-NEW-00114,New February 2026 SKU 114,CSO-NEW-07,Net-new item for added-row demo.,25.2,Each,22.68,Each,
DEMO-P-202602-NEW-00115,New February 2026 SKU 115,CSO-NEW-08,Net-new item for added-row demo.,25.25,Each,22.725,Each,
DEMO-P-202602-NEW-00116,New February 2026 SKU 116,CSO-NEW-09,Net-new item for added-row demo.,25.3,Each,22.77,Each,
DEMO-P-202602-NEW-00117,New February 2026 SKU 117,CSO-NEW-10,Net-new item for added-row demo.,25.35,Each,22.815,Each,
DEMO-P-202602-NEW-00118,New February 2026 SKU 118,CSO-NEW-11,Net-new item for added-row demo.,25.4,Each,22.86,Each,
DEMO-P-202602-NEW-00119,New February 2026 SKU 119,CSO-NEW-12,Net-new item for added-row demo.,25.45,Each,22.905,Each,
DEMO-P-202602-NEW-00120,New February 2026 SKU 120,CSO-NEW-01,Net-new item for added-row demo.,25.5,Each,22.95,Each,
DEMO-P-202602-NEW-00121,New February 2026 SKU 121,CSO-NEW-02,Net-new item for added-row demo.,25.55,Each,22.995,Each,
DEMO-P-202602-NEW-00122,New February 2026 SKU 122,CSO-NEW-03,Net-new item for added-row demo.,25.6,Each,23.04,Each,
DEMO-P-202602-NEW-00123,New February 2026 SKU 123,CSO-NEW-04,Net-new item for added-row demo.,25.65,Each,23.085,Each,
DEMO-P-202602-NEW-00124,New February 2026 SKU 124,CSO-NEW-05,Net-new item for added-row demo.,25.7,Each,23.13,Each,
DEMO-P-202602-NEW-00125,New February 2026 SKU 125,CSO-NEW-06,Net-new item for added-row demo.,25.75,Each,23.175,Each,
DEMO-P-202602-NEW-00126,New February 2026 SKU 126,CSO-NEW-07,Net-new item for added-row demo.,25.8,Each,23.22,Each,
DEMO-P-202602-NEW-00127,New February 2026 SKU 127,CSO-NEW-08,Net-new item for added-row demo.,25.85,Each,23.265,Each,
DEMO-P-202602-NEW-00128,New February 2026 SKU 128,CSO-NEW-09,Net-new item for added-row demo.,25.9,Each,23.31,Each,
DEMO-P-202602-NEW-00129,New February 2026 SKU 129,CSO-NEW-10,Net-new item for added-row demo.,25.95,Each,23.355,Each,
DEMO-P-202602-NEW-00130,New February 2026 SKU 130,CSO-NEW-11,Net-new item for added-row demo.,26,Each,23.4,Each,
DEMO-P-202602-NEW-00131,New February 2026 SKU 131,CSO-NEW-12,Net-new item for added-row demo.,26.05,Each,23.445,Each,
DEMO-P-202602-NEW-00132,New February 2026 SKU 132,CSO-NEW-01,Net-new item for added-row demo.,26.1,Each,23.49,Each,
DEMO-P-202602-NEW-00133,New February 2026 SKU 133,CSO-NEW-02,Net-new item for added-row demo.,26.15,Each,23.535,Each,
DEMO-P-202602-NEW-00134,New February 2026 SKU 134,CSO-NEW-03,Net-new item for added-row demo.,26.2,Each,23.58,Each,
DEMO-P-202602-NEW-00135,New February 2026 SKU 135,CSO-NEW-04,Net-new item for added-row demo.,26.25,Each,23.625,Each,
DEMO-P-202602-NEW-00136,New February 2026 SKU 136,CSO-NEW-05,Net-new item for added-row demo.,26.3,Each,23.67,Each,
DEMO-P-202602-NEW-00137,New February 2026 SKU 137,CSO-NEW-06,Net-new item for added-row demo.,26.35,Each,23.715,Each,
DEMO-P-202602-NEW-00138,New February 2026 SKU 138,CSO-NEW-07,Net-new item for added-row demo.,26.4,Each,23.76,Each,
DEMO-P-202602-NEW-00139,New February 2026 SKU 139,CSO-NEW-08,Net-new item for added-row demo.,26.45,Each,23.805,Each,
DEMO-P-202602-NEW-00140,New February 2026 SKU 140,CSO-NEW-09,Net-new item for added-row demo.,26.5,Each,23.85,Each,
DEMO-P-202602-NEW-00141,New February 2026 SKU 141,CSO-NEW-10,Net-new item for added-row demo.,26.55,Each,23.895,Each,
DEMO-P-202602-NEW-00142,New February 2026 SKU 142,CSO-NEW-11,Net-new item for added-row demo.,26.6,Each,23.94,Each,
DEMO-P-202602-NEW-00143,New February 2026 SKU 143,CSO-NEW-12,Net-new item for added-row demo.,26.65,Each,23.985,Each,
DEMO-P-202602-NEW-00144,New February 2026 SKU 144,CSO-NEW-01,Net-new item for added-row demo.,26.7,Each,24.03,Each,
DEMO-P-202602-NEW-00145,New February 2026 SKU 145,CSO-NEW-02,Net-new item for added-row demo.,26.75,Each,24.075,Each,
DEMO-P-202602-NEW-00146,New February 2026 SKU 146,CSO-NEW-03,Net-new item for added-row demo.,26.8,Each,24.12,Each,
DEMO-P-202602-NEW-00147,New February 2026 SKU 147,CSO-NEW-04,Net-new item for added-row demo.,26.85,Each,24.165,Each,
DEMO-P-202602-NEW-00148,New February 2026 SKU 148,CSO-NEW-05,Net-new item for added-row demo.,26.9,Each,24.21,Each,
DEMO-P-202602-NEW-00149,New February 2026 SKU 149,CSO-NEW-06,Net-new item for added-row demo.,26.95,Each,24.255,Each,
DEMO-P-202602-NEW-00150,New February 2026 SKU 150,CSO-NEW-07,Net-new item for added-row demo.,27,Each,24.3,Each,
DEMO-P-202602-NEW-00151,New February 2026 SKU 151,CSO-NEW-08,Net-new item for added-row demo.,27.05,Each,24.345,Each,
DEMO-P-202602-NEW-00152,New February 2026 SKU 152,CSO-NEW-09,Net-new item for added-row demo.,27.1,Each,24.39,Each,
DEMO-P-202602-NEW-00153,New February 2026 SKU 153,CSO-NEW-10,Net-new item for added-row demo.,27.15,Each,24.435,Each,
DEMO-P-202602-NEW-00154,New February 2026 SKU 154,CSO-NEW-11,Net-new item for added-row demo.,27.2,Each,24.48,Each,
DEMO-P-202602-NEW-00155,New February 2026 SKU 155,CSO-NEW-12,Net-new item for added-row demo.,27.25,Each,24.525,Each,
DEMO-P-202602-NEW-00156,New February 2026 SKU 156,CSO-NEW-01,Net-new item for added-row demo.,27.3,Each,24.57,Each,
DEMO-P-202602-NEW-00157,New February 2026 SKU 157,CSO-NEW-02,Net-new item for added-row demo.,27.35,Each,24.615,Each,
DEMO-P-202602-NEW-00158,New February 2026 SKU 158,CSO-NEW-03,Net-new item for added-row demo.,27.4,Each,24.66,Each,
DEMO-P-202602-NEW-00159,New February 2026 SKU 159,CSO-NEW-04,Net-new item for added-row demo.,27.45,Each,24.705,Each,
DEMO-P-202602-NEW-00160,New February 2026 SKU 160,CSO-NEW-05,Net-new item for added-row demo.,27.5,Each,24.75,Each,
DEMO-P-202602-NEW-00161,New February 2026 SKU 161,CSO-NEW-06,Net-new item for added-row demo.,27.55,Each,24.795,Each,
DEMO-P-202602-NEW-00162,New February 2026 SKU 162,CSO-NEW-07,Net-new item for added-row demo.,27.6,Each,24.84,Each,
DEMO-P-202602-NEW-00163,New February 2026 SKU 163,CSO-NEW-08,Net-new item for added-row demo.,27.65,Each,24.885,Each,
DEMO-P-202602-NEW-00164,New February 2026 SKU 164,CSO-NEW-09,Net-new item for added-row demo.,27.7,Each,24.93,Each,
DEMO-P-202602-NEW-00165,New February 2026 SKU 165,CSO-NEW-10,Net-new item for added-row demo.,27.75,Each,24.975,Each,
DEMO-P-202602-NEW-00166,New February 2026 SKU 166,CSO-NEW-11,Net-new item for added-row demo.,27.8,Each,25.02,Each,
DEMO-P-202602-NEW-00167,New February 2026 SKU 167,CSO-NEW-12,Net-new item for added-row demo.,27.85,Each,25.065,Each,
DEMO-P-202602-NEW-00168,New February 2026 SKU 168,CSO-NEW-01,Net-new item for added-row demo.,27.9,Each,25.11,Each,
DEMO-P-202602-NEW-00169,New February 2026 SKU 169,CSO-NEW-02,Net-new item for added-row demo.,27.95,Each,25.155,Each,
DEMO-P-202602-NEW-00170,New February 2026 SKU 170,CSO-NEW-03,Net-new item for added-row demo.,28,Each,25.2,Each,
DEMO-P-202602-NEW-00171,New February 2026 SKU 171,CSO-NEW-04,Net-new item for added-row demo.,28.05,Each,25.245,Each,
DEMO-P-202602-NEW-00172,New February 2026 SKU 172,CSO-NEW-05,Net-new item for added-row demo.,28.1,Each,25.29,Each,
DEMO-P-202602-NEW-00173,New February 2026 SKU 173,CSO-NEW-06,Net-new item for added-row demo.,28.15,Each,25.335,Each,
DEMO-P-202602-NEW-00174,New February 2026 SKU 174,CSO-NEW-07,Net-new item for added-row demo.,28.2,Each,25.38,Each,
DEMO-P-202602-NEW-00175,New February 2026 SKU 175,CSO-NEW-08,Net-new item for added-row demo.,28.25,Each,25.425,Each,
DEMO-P-202602-NEW-00176,New February 2026 SKU 176,CSO-NEW-09,Net-new item for added-row demo.,28.3,Each,25.47,Each,
DEMO-P-202602-NEW-00177,New February 2026 SKU 177,CSO-NEW-10,Net-new item for added-row demo.,28.35,Each,25.515,Each,
DEMO-P-202602-NEW-00178,New February 2026 SKU 178,CSO-NEW-11,Net-new item for added-row demo.,28.4,Each,25.56,Each,
DEMO-P-202602-NEW-00179,New February 2026 SKU 179,CSO-NEW-12,Net-new item for added-row demo.,28.45,Each,25.605,Each,
DEMO-P-202602-NEW-00180,New February 2026 SKU 180,CSO-NEW-01,Net-new item for added-row demo.,28.5,Each,25.65,Each,
DEMO-P-202602-NEW-00181,New February 2026 SKU 181,CSO-NEW-02,Net-new item for added-row demo.,28.55,Each,25.695,Each,
DEMO-P-202602-NEW-00182,New February 2026 SKU 182,CSO-NEW-03,Net-new item for added-row demo.,28.6,Each,25.74,Each,
DEMO-P-202602-NEW-00183,New February 2026 SKU 183,CSO-NEW-04,Net-new item for added-row demo.,28.65,Each,25.785,Each,
DEMO-P-202602-NEW-00184,New February 2026 SKU 184,CSO-NEW-05,Net-new item for added-row demo.,28.7,Each,25.83,Each,
DEMO-P-202602-NEW-00185,New February 2026 SKU 185,CSO-NEW-06,Net-new item for added-row demo.,28.75,Each,25.875,Each,
DEMO-P-202602-NEW-00186,New February 2026 SKU 186,CSO-NEW-07,Net-new item for added-row demo.,28.8,Each,25.92,Each,
DEMO-P-202602-NEW-00187,New February 2026 SKU 187,CSO-NEW-08,Net-new item for added-row demo.,28.85,Each,25.965,Each,
DEMO-P-202602-NEW-00188,New February 2026 SKU 188,CSO-NEW-09,Net-new item for added-row demo.,28.9,Each,26.01,Each,
DEMO-P-202602-NEW-00189,New February 2026 SKU 189,CSO-NEW-10,Net-new item for added-row demo.,28.95,Each,26.055,Each,
DEMO-P-202602-NEW-00190,New February 2026 SKU 190,CSO-NEW-11,Net-new item for added-row demo.,29,Each,26.1,Each,
DEMO-P-202602-NEW-00191,New February 2026 SKU 191,CSO-NEW-12,Net-new item for added-row demo.,29.05,Each,26.145,Each,
DEMO-P-202602-NEW-00192,New February 2026 SKU 192,CSO-NEW-01,Net-new item for added-row demo.,29.1,Each,26.19,Each,
DEMO-P-202602-NEW-00193,New February 2026 SKU 193,CSO-NEW-02,Net-new item for added-row demo.,29.15,Each,26.235,Each,
DEMO-P-202602-NEW-00194,New February 2026 SKU 194,CSO-NEW-03,Net-new item for added-row demo.,29.2,Each,26.28,Each,
DEMO-P-202602-NEW-00195,New February 2026 SKU 195,CSO-NEW-04,Net-new item for added-row demo.,29.25,Each,26.325,Each,
DEMO-P-202602-NEW-00196,New February 2026 SKU 196,CSO-NEW-05,Net-new item for added-row demo.,29.3,Each,26.37,Each,
DEMO-P-202602-NEW-00197,New February 2026 SKU 197,CSO-NEW-06,Net-new item for added-row demo.,29.35,Each,26.415,Each,
DEMO-P-202602-NEW-00198,New February 2026 SKU 198,CSO-NEW-07,Net-new item for added-row demo.,29.4,Each,26.46,Each,
DEMO-P-202602-NEW-00199,New February 2026 SKU 199,CSO-NEW-08,Net-new item for added-row demo.,29.45,Each,26.505,Each,
DEMO-P-202602-NEW-00200,New February 2026 SKU 200,CSO-NEW-09,Net-new item for added-row demo.,29.5,Each,26.55,Each,
